Category,Product,URL
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,HT Stage 60 - 60 watt Valve Combo,https://www.belfieldmusic.com.au/blackstar-ht-stage-60-valve-combo-amp.html
Recording,Tube Ultragain MIC200 Tube Preamplifier,https://www.soundcorp.com.au/behringer-mic200-tube-preamplifier-7206
Recording | Software,Live 9 Upgrade From Live Intro,http://www.guitarfactory.com.au/Software/Ableton/ableton-live-9-upgrade
Recording | Hard Disk Recording,F8 MultiTrack Field Recorder + PCF-8 Carry Case,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=9057
Recording | Hard Disk Recording,F8 MultiTrack Field Recorder,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=9057
Guitars | Electric Guitars,Revstar RS502TBG Electric Guitar - Bowden Green,https://www.ghmusic.com.au/yamaha-revstar-rs502tbg-electric-guitar-bowden-green.html
Recording | Microphones | Lapel & Lavalier Microphones,PinMic Discreet Pin-Through Lapel Microphone,https://www.storedj.com.au/rode-pinmic-discreet-long-pin-through-lapel-microphone
Guitars | Electric Guitars,RGIF8 Iron Label Fan Fret 8 String Electric Guitar,http://www.portmacguitars.com.au/ibanez-rgif8-fan-fret-guitar-8-string~2
Amps & FX | Effects,Cock Fight Talking Wah Pedal,http://www.bigmusicshop.com.au/electro-harmonix-cock-fight-talking-wah-effects-pedal.html
Live Sound | Mixers | Mixer Accessories,Microphono PP400 Phono Preamp,https://www.storedj.com.au/behringer-microphono-pp400-phono-preamp
Guitars | Electric Guitars | Les Pauls,Les Paul Classic 2017 T - Heritage Cherry Sunburst,http://www.haworthguitars.com.au/products/guitars/electric/gibson-2017-les-paul-classic-t-2017-heritage-cherry-sunburst/
Recording | Rack Effects & Preamps,RC500 Premium Solid-State Channel Strip,http://www.bettermusic.com.au/presonus-rc500-solid-state-channel-strip
